Date,Stock Name,sentiment,stock_performance,pct_change,one_day_price,two_day_price,three_day_price,historical_price
2021-09-30,AAPL,0.0989,1,0.8126838411632129,140.17,139.27,142.66,146.03
2021-09-30,AMD,0.4178,-1,-0.4373222263981643,100.35,101.52,108.16,105.88
2021-09-30,AMZN,0.24647999999999998,-1,-0.054187782917034355,165.06,165.8,170.29,171.8
2021-09-30,DIS,0.5461,1,4.04325971498167,170.57,172.39,176.08,178.13
2021-09-30,GOOG,0.4404,1,2.3989834932697844,133.89,135.54,140.83,141.79
2021-09-30,META,0.4724666666666667,1,1.0666219530572147,338.02,339.05,351.92,364.16
2021-09-30,MSFT,0.24647999999999998,1,2.546801581628353,275.76,275.3,285.64,289.19
2021-09-30,NFLX,0.24548,1,0.46039870153545903,599.06,583.85,592.64,588.84
2021-09-30,NIO,0.4171285714285714,-1,-0.7016558869085225,35.13,35.05,36.77,37.49
2021-09-30,PG,0.24647999999999998,-1,-0.15738005349136788,130.26,128.95,129.93,131.76
2021-09-30,TSLA,0.23155222222222221,-1,-0.03352887910832071,260.44,259.19,263.79,250.69
2021-09-30,TSM,0.3837261904761905,-1,-0.0806107266540459,104.84,105.1,109.09,111.58
2021-09-30,XPEV,0.7783,-1,-0.22510362688182964,34.55,34.67,36.12,38.19
2021-10-01,AAPL,0.2918909090909091,-1,-2.4605250221645845,138.86,140.17,139.27,145.54
2021-10-01,AMD,0.43575,-1,-2.0595418967338146,102.9,100.35,101.52,105.51
2021-10-01,AMZN,0.3593375,-1,-2.8471678341373114,164.25,165.06,165.8,171.36
2021-10-01,CRM,0.6124,-1,-1.598506781947643,269.71,269.0,270.77,263.45
2021-10-01,DIS,0.401,-1,-1.4487857934423132,167.11,170.57,172.39,177.56
2021-10-01,GOOG,-0.49434999999999996,-1,-1.9767337482882632,132.64,133.89,135.54,141.21
2021-10-01,META,0.25531818181818183,-1,-4.891987398261629,337.8,338.02,339.05,362.26
2021-10-01,MSFT,0.3593375,-1,-2.07193738419237,273.74,275.76,275.3,288.26
2021-10-01,NFLX,0.44523999999999997,-1,-1.5983117406690326,610.34,599.06,583.85,590.8
2021-10-01,NIO,0.24901176470588235,-1,-5.596380673998117,35.63,35.13,35.05,37.31
2021-10-01,PG,0.3593375,-1,-0.5660071513706794,128.22,130.26,128.95,131.65
2021-10-01,TSLA,0.23370425531914893,1,0.8139621398127186,258.49,260.44,259.19,251.32
2021-10-01,TSM,0.23024901960784314,-1,-2.276803920550686,104.87,104.84,105.1,111.27
2021-10-01,XPEV,0.4819,-1,-3.8071023941798003,35.54,34.55,34.67,37.86
2021-10-01,ZS,0.3062,-1,-4.293966748179074,262.22,258.88,258.74,274.31
2021-10-04,AAPL,0.047409999999999994,1,1.415820482826532,139.99,138.86,140.17,144.45
