Date,Stock Name,sentiment,stock_performance,pct_change,one_day_price,two_day_price,three_day_price,historical_price,sentiment
2021-09-30,AAPL,-1,0,0.8127170739811862,140.17,139.27,142.66,146.03,-1
2021-09-30,AMD,1,0,-0.4373222263981643,100.35,101.52,108.16,105.88,1
2021-09-30,AMZN,-1,0,-0.054187782917034355,165.06,165.8,170.29,171.8,-1
2021-09-30,META,1,0,1.0666219530572147,338.02,339.05,351.92,364.16,1
2021-09-30,MSFT,-1,1,2.54680129770389,275.76,275.3,285.64,289.19,-1
2021-09-30,NFLX,-1,0,0.46039870153545903,599.06,583.85,592.64,588.84,-1
2021-09-30,NIO,1,0,-0.7016558869085225,35.13,35.05,36.77,37.49,1
2021-09-30,PG,-1,0,-0.15738005349136788,130.26,128.95,129.93,131.76,-1
2021-09-30,TSLA,0,0,-0.03352887910832071,260.44,259.19,263.79,250.69,0
2021-09-30,TSM,0,0,-0.08060345131770529,104.84,105.1,109.09,111.58,0
2021-10-01,AAPL,-1,-1,-2.4605359218864886,138.86,140.17,139.27,145.54,-1
2021-10-01,AMZN,-1,-1,-2.8471678341373114,164.25,165.06,165.8,171.36,-1
2021-10-01,CRM,0,-1,-1.598495633204569,269.71,269.0,270.77,263.45,0
2021-10-01,GOOG,-1,-1,-1.9767337482882632,132.64,133.89,135.54,141.21,-1
2021-10-01,META,1,-1,-4.891987398261629,337.8,338.02,339.05,362.26,1
2021-10-01,MSFT,-1,-1,-2.071969773151875,273.74,275.76,275.3,288.26,-1
2021-10-01,NFLX,0,-1,-1.5983117406690326,610.34,599.06,583.85,590.8,0
2021-10-01,NIO,1,-1,-5.596380673998117,35.63,35.13,35.05,37.31,1
2021-10-01,PG,-1,0,-0.5659833134684148,128.22,130.26,128.95,131.65,-1
2021-10-01,TSLA,1,0,0.8139621398127186,258.49,260.44,259.19,251.32,1
2021-10-01,TSM,-1,-1,-2.2768037547719198,104.87,104.84,105.1,111.27,-1
2021-10-04,AAPL,-1,0,1.4158206410399246,139.99,138.86,140.17,144.45,-1
2021-10-04,AMZN,-1,0,0.9787538038384194,164.16,164.25,165.06,170.62,-1
2021-10-04,CRM,0,0,0.33596404902562155,273.73,269.71,269.0,263.74,0
2021-10-04,GOOG,0,1,1.8031661997568622,135.82,132.64,133.89,140.45,0
2021-10-04,META,-1,1,2.0629506680601817,341.4,337.8,338.02,358.98,-1
2021-10-04,MSFT,-1,1,1.995735722240675,280.71,273.74,275.76,287.18,-1
2021-10-04,NIO,0,0,1.4071777980060782,35.38,35.63,35.13,36.8,0
2021-10-04,PG,0,0,0.3891033326404966,128.02,128.22,130.26,131.39,0
2021-10-04,TSLA,1,0,-0.12028501034160569,258.41,258.49,260.44,252.77,1
2021-10-04,TSM,-1,0,0.2201576092439373,104.78,104.87,104.84,110.52,-1
2021-10-05,AAPL,-1,0,0.6307199315255508,136.55,139.99,138.86,144.05,-1
2021-10-05,AMD,1,1,1.7974677093980713,100.34,102.45,102.9,104.47,1
2021-10-05,META,-1,0,0.20424056792856748,324.7,341.4,337.8,357.26,-1
2021-10-05,NIO,-1,0,-0.6200150312817575,33.4,35.38,35.63,36.63,-1
2021-10-05,PYPL,1,1,1.5029804935014508,255.01,264.65,260.21,274.88,1
2021-10-05,TSLA,1,0,0.27671424905384906,260.51,258.41,258.49,253.16,1
2021-10-05,TSM,0,0,0.07320731296970108,102.4,104.78,104.87,110.11,0
2021-10-06,AAPL,0,0,0.9084565283398427,138.48,136.55,139.99,143.79,0
2021-10-06,AMZN,0,0,1.2391203105561124,161.05,159.49,164.16,169.63,0
2021-10-06,COST,1,0,0.7856076809288469,426.5,420.67,428.5,435.92,1
2021-10-06,GOOG,0,0,1.333423073518754,135.54,133.13,135.82,139.87,0
2021-10-06,KO,0,0,0.3165125864003521,47.77,47.69,47.72,48.85,0
2021-10-06,META,0,0,-1.3247796797333293,331.4,324.7,341.4,356.03,0
2021-10-06,MSFT,0,0,0.5936285456390143,280.38,274.9,280.71,286.27,0
2021-10-06,NIO,-1,1,6.922168275748895,33.87,33.4,35.38,36.5,-1
2021-10-06,PG,-1,0,0.800339162911904,127.79,127.3,128.02,131.03,-1
2021-10-06,PYPL,0,0,-0.19692078257953163,260.15,255.01,264.65,274.18,0
2021-10-06,TSLA,0,0,1.3874260399496263,260.2,260.51,258.41,253.5,0
2021-10-06,TSM,0,0,1.3627162770048398,102.62,102.4,104.78,109.76,0
2021-10-07,AAPL,1,0,-0.27218738436864875,139.35,138.48,136.55,143.59,1
2021-10-07,AMD,-1,0,-1.3057768243284018,103.64,101.81,100.34,104.31,-1
2021-10-07,AMZN,0,0,-0.4181805261295601,163.1,161.05,159.49,169.33,0
2021-10-07,CRM,0,0,-0.7647867925884226,273.74,270.26,269.36,264.75,0
2021-10-07,DIS,1,0,-0.5458401409422785,173.34,172.48,171.34,176.37,1
2021-10-07,F,0,1,1.5446423528082696,11.14,11.28,11.32,10.68,0
2021-10-07,META,0,0,0.2521030238858511,332.07,331.4,324.7,354.94,0
2021-10-07,NIO,1,0,-0.44456749083131886,33.66,33.87,33.4,36.37,1
2021-10-07,PG,0,0,-0.41455574128841455,129.5,127.79,127.3,130.96,0
2021-10-07,TSLA,1,0,-1.0231834522373262,260.92,260.2,260.51,253.83,1
2021-10-07,TSM,0,0,-0.7128052230557925,102.7,102.62,102.4,109.44,0
2021-10-07,XPEV,0,-1,-1.5682135401020318,35.75,35.52,34.11,37.03,0
2021-10-08,AAPL,0,0,-0.06296633112913091,140.62,139.35,138.48,142.99,0
2021-10-08,AMD,0,0,-0.3616954713957973,106.45,103.64,101.81,104.18,0
2021-10-08,AMZN,1,0,-1.2868603350918464,165.12,163.1,161.05,168.86,1
2021-10-08,BA,1,0,0.026501859073061757,226.48,224.99,224.42,217.89,1
2021-10-08,MSFT,1,0,-0.21027787335701426,286.3,284.61,280.38,285.96,1
2021-10-08,PG,0,0,0.41628145998068367,130.53,129.5,127.79,130.91,0
2021-10-08,PYPL,1,-1,-1.9264764107779178,263.54,264.06,260.15,272.37,1
2021-10-08,TSLA,0,0,0.821152856557585,264.54,260.92,260.2,254.45,0
2021-10-08,TSM,0,0,0.1999355718046627,104.1,102.7,102.62,108.87,0
2021-10-11,AMD,1,0,0.3439058170634746,105.06,106.45,103.64,103.98,1
2021-10-11,META,-1,0,-0.5162082921939417,328.5,327.68,332.07,347.78,-1
2021-10-11,NFLX,0,0,-0.3349029821900646,632.66,631.85,639.1,599.57,0
2021-10-11,NIO,1,0,-0.36476170129507046,35.83,35.99,33.66,35.84,1
2021-10-11,PYPL,1,0,0.3136651802334879,260.06,263.54,264.06,269.78,1
2021-10-11,TSLA,-1,1,1.7400267303360875,261.83,264.54,260.92,255.57,-1
2021-10-11,TSM,-1,0,-0.9613782989754861,103.35,104.1,102.7,107.73,-1
2021-10-12,AAPL,-1,0,-0.4239866945442204,140.15,140.24,140.62,141.74,-1
2021-10-12,AMD,0,1,3.922317889063346,104.68,105.06,106.45,104.01,0
2021-10-12,AMZN,0,0,1.137860120398265,162.32,164.43,165.12,167.51,0
2021-10-12,CRM,1,1,1.9390878789848662,272.23,270.97,273.05,266.7,1
2021-10-12,META,-1,0,0.2378420702137444,323.92,328.5,327.68,346.64,-1
2021-10-12,MSFT,-1,0,1.1711378661113685,285.7,286.3,286.3,285.51,-1
2021-10-12,NIO,1,1,2.055768491802268,35.64,35.83,35.99,35.83,1
2021-10-12,PG,-1,0,0.2322620946622565,130.53,129.99,130.53,130.65,-1
2021-10-12,TSLA,1,0,0.6652379022320155,263.98,261.83,264.54,255.97,1
2021-10-12,TSM,0,0,0.7142882646510733,103.56,103.35,104.1,107.53,0
2021-10-12,VZ,0,0,0.03896554426535152,42.46,43.32,43.85,43.63,0
2021-10-12,XPEV,0,1,5.780960907191883,37.42,37.66,38.26,36.62,0
2021-10-13,AAPL,-1,1,2.0225561180234326,138.87,140.15,140.24,141.61,-1
2021-10-13,AMD,0,1,2.5925193355801235,105.04,104.68,105.06,104.06,0
2021-10-13,AMZN,-1,0,0.47437592275511203,162.37,162.32,164.43,167.28,-1
2021-10-13,META,1,0,1.2294037692154567,322.25,323.92,328.5,345.54,1
2021-10-13,MSFT,-1,1,2.173379932858499,284.38,285.7,286.3,285.46,-1
2021-10-13,NIO,0,0,0.11036727090949262,35.51,35.64,35.83,35.82,0
2021-10-13,PG,-1,0,1.1302846536416973,130.34,130.53,129.99,130.64,-1
2021-10-13,TSLA,0,0,0.8926471099504287,268.57,263.98,261.83,256.54,0
2021-10-13,TSM,1,1,2.345888249597824,102.57,103.56,103.35,107.31,1
2021-10-13,XPEV,1,0,-1.2534469983716052,37.71,37.42,37.66,36.67,1
2021-10-13,ZS,-1,1,2.5293049223752266,277.72,267.7,266.66,269.07,-1
2021-10-14,AAPL,1,0,0.7512596342307292,138.28,138.87,140.15,141.22,1
2021-10-14,AMZN,-1,1,3.3080239390044244,164.21,162.37,162.32,166.89,-1
2021-10-14,BA,0,0,-0.1839630016474215,221.78,223.57,226.45,220.08,0
2021-10-14,GOOG,0,0,0.18596277557112842,137.25,136.07,138.19,138.46,0
2021-10-14,INTC,1,0,1.038942717304309,48.13,48.05,49.22,49.52,1
2021-10-14,META,0,0,-1.1475186917200564,323.02,322.25,323.92,343.18,0
2021-10-14,MSFT,-1,0,0.4822505051255856,287.72,284.38,285.7,285.43,-1
2021-10-14,PG,-1,0,0.25684029728291397,130.64,130.34,130.53,130.5,-1
2021-10-14,TSLA,1,1,3.0195999501915196,270.36,268.57,263.98,257.58,1
2021-10-14,TSM,0,1,2.0433426970062563,103.3,102.57,103.56,106.75,0
2021-10-14,XPEV,0,1,8.6316364015289,39.89,37.71,37.42,36.74,0
2021-10-15,AAPL,-1,0,1.1805935526755214,141.08,138.28,138.87,141.03,-1
2021-10-15,AMD,0,1,3.844093340182459,111.99,109.16,105.04,104.54,0
2021-10-15,AMZN,0,0,1.1064772529006075,164.99,164.21,162.37,166.55,0
2021-10-15,MSFT,0,0,1.0124899694778715,293.97,287.72,284.38,285.56,0
2021-10-15,NFLX,-1,1,1.5406886969888876,633.8,629.76,624.94,606.36,-1
2021-10-15,NIO,1,1,5.038455507842334,36.28,36.24,35.51,35.64,1
2021-10-15,PYPL,1,0,0.7378350749827169,266.45,256.36,255.85,266.67,1
2021-10-15,TSLA,1,1,3.2122244936434474,272.77,270.36,268.57,258.69,1
2021-10-15,TSM,0,0,0.4178923054096796,105.72,103.3,102.57,106.32,0
2021-10-15,XPEV,1,0,0.9815334422975122,39.39,39.89,37.71,36.78,1
2021-10-18,AAPL,1,1,1.5080141099941264,142.14,141.08,138.28,140.46,1
2021-10-18,AMD,0,0,-0.08588720592543743,112.12,111.99,109.16,104.82,0
2021-10-18,AMZN,0,0,-0.07514424560826287,170.45,164.99,164.21,165.66,0
2021-10-18,BA,0,0,-0.46547816698465777,217.04,217.44,221.78,221.18,0
2021-10-18,COST,0,0,1.1105159114158534,432.38,430.73,425.6,431.0,0
2021-10-18,DIS,-1,0,0.023368608890812454,174.31,172.28,170.85,172.61,-1
2021-10-18,GOOG,1,0,0.6026128774467308,141.01,140.75,137.25,137.8,1
2021-10-18,META,1,0,1.3866482531209094,323.24,326.99,323.02,335.95,1
2021-10-18,MSFT,0,0,0.3058746423314304,295.39,293.97,287.72,284.71,0
2021-10-18,NFLX,-1,0,0.16145419756039225,628.29,633.8,629.76,610.48,-1
2021-10-18,NIO,1,0,1.0603336593626596,37.71,36.28,36.24,35.46,1
2021-10-18,PG,0,0,-1.1802498860435489,132.46,132.12,130.64,130.23,0
2021-10-18,PYPL,-1,0,0.5067975077930855,268.35,266.45,256.36,264.66,-1
2021-10-18,TSLA,1,0,-0.6711860640270406,281.01,272.77,270.36,260.74,1
2021-10-18,TSM,0,0,1.404551494200046,107.88,105.72,103.3,105.46,0
2021-10-18,ZS,-1,0,-1.088579471598527,292.7,293.89,286.64,271.28,-1
2021-10-19,AAPL,1,0,0.3361479975149234,143.82,142.14,141.08,140.62,1
2021-10-19,AMZN,1,0,-0.8446195751808624,172.34,170.45,164.99,165.97,1
2021-10-19,ENPH,0,-1,-3.7207267967048976,179.97,172.92,173.78,158.33,0
2021-10-19,META,-1,0,0.23235717766788244,333.77,323.24,326.99,335.85,-1
2021-10-19,MSFT,1,0,-0.26602117605648307,298.38,295.39,293.97,285.36,1
2021-10-19,NFLX,0,-1,-2.1690117921068075,637.97,628.29,633.8,611.78,0
2021-10-19,NIO,1,0,-0.6245316203439346,39.61,37.71,36.28,35.66,1
2021-10-19,PG,1,0,0.3910031544950342,130.55,132.46,132.12,130.24,1
2021-10-19,TSLA,0,0,0.17703140411263274,290.04,281.01,272.77,262.14,0
2021-10-19,TSM,0,0,-1.1713427823785552,108.33,107.88,105.72,105.59,0
2021-10-19,ZS,1,0,-0.1207882941438669,301.31,292.7,293.89,272.71,1
2021-10-20,AAPL,0,0,0.14733835204594992,145.99,143.82,142.14,140.86,0
2021-10-20,AMD,1,1,2.5259923161987143,116.33,116.43,112.12,105.87,1
2021-10-20,AMZN,0,0,0.5841756945128931,172.21,172.34,170.45,166.26,0
2021-10-20,META,-1,0,0.3227914460086859,338.4,333.77,323.24,335.96,-1
2021-10-20,NFLX,1,1,4.482189243933048,639.0,637.97,628.29,613.02,1
2021-10-20,NIO,1,0,0.47763310014261484,40.03,39.61,37.71,35.86,1
2021-10-20,PG,0,0,-0.7196767003873008,129.01,130.55,132.46,130.19,0
